dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,nfev,qc_energy_0,qc_energy_1,time_elapsed
H4_line_sto-3g,H4_line_sto-3g_singlet_1.30.hdf5,H4line,1.3,-2.065228963,-1.784934839,1149,-1.989397019,-1.257413536,8.947177649
H4_line_sto-3g,H4_line_sto-3g_singlet_1.40.hdf5,H4line,1.4,-2.029070494,-1.806225591,207,-1.934689336,-1.014073599,1.643363953
H4_line_sto-3g,H4_line_sto-3g_singlet_1.50.hdf5,H4line,1.5,-1.996150326,-1.821714545,678,-1.894215776,-1.226179193,5.188720942
H4_line_sto-3g,H4_line_sto-3g_singlet_1.60.hdf5,H4line,1.6,-1.96756031,-1.833157735,678,-1.84833231,-1.209349566,5.20839262
H4_line_sto-3g,H4_line_sto-3g_singlet_1.70.hdf5,H4line,1.7,-1.943692039,-1.841705333,59,-1.787628922,-1.083682631,0.504822254
H4_line_sto-3g,H4_line_sto-3g_singlet_1.80.hdf5,H4line,1.8,-1.924430638,-1.848128252,207,-1.766193315,-1.236215665,1.618402719
H4_line_sto-3g,H4_line_sto-3g_singlet_1.90.hdf5,H4line,1.9,-1.90933206,-1.852959977,207,-1.667001173,-1.287252878,1.631801367
H4_line_sto-3g,H4_line_sto-3g_singlet_2.00.hdf5,H4line,2,-1.897780646,-1.856584103,207,-1.579112031,-1.308078379,1.690090895
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.50.hdf5,H4ring,0.5,-0.610129733,-0.516290717,207,-0.597654177,-0.466728385,1.577203274
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.60.hdf5,H4ring,0.6,-1.191865902,-1.074424497,148,-1.171185136,-1.050935245,1.101863861
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.70.hdf5,H4ring,0.7,-1.528728496,-1.394619511,148,-1.435070672,-1.368704361,1.076359987
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.80.hdf5,H4ring,0.8,-1.728280864,-1.586733278,148,-1.62531328,-1.503833873,1.105100155
H4_ring_sto-3g,H4_ring_sto-3g_singlet_0.90.hdf5,H4ring,0.9,-1.846740573,-1.699536109,148,-1.665823463,-1.474482066,1.083179235
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.00.hdf5,H4ring,1,-1.91510655,-1.764318325,354,-1.814848493,-1.674622626,2.568838596
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.10.hdf5,H4ring,1.1,-1.951594008,-1.799888637,148,-1.781726453,-1.718221142,1.096682549
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.20.hdf5,H4ring,1.2,-1.96754988,-1.818374839,148,-1.906196555,-1.622943209,1.114957809
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.30.hdf5,H4ring,1.3,-1.970377538,-1.82783832,148,-1.822326245,-1.653120762,1.094988108
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.40.hdf5,H4ring,1.4,-1.965080561,-1.833410749,148,-1.792742151,-1.626980377,1.104252577
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.50.hdf5,H4ring,1.5,-1.955125012,-1.837877473,678,-1.934688458,-1.558848572,4.829437733
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.60.hdf5,H4ring,1.6,-1.94293896,-1.842282961,59,-1.914614012,-1.52084566,0.473686695
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.70.hdf5,H4ring,1.7,-1.930207736,-1.846685162,59,-1.901801152,-1.462241606,0.452629566
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.80.hdf5,H4ring,1.8,-1.91805379,-1.850812292,148,-1.884674661,-1.338318391,1.099953651
H4_ring_sto-3g,H4_ring_sto-3g_singlet_1.90.hdf5,H4ring,1.9,-1.907156847,-1.854423236,265,-1.871115061,-1.305338095,1.983966351
H4_ring_sto-3g,H4_ring_sto-3g_singlet_2.00.hdf5,H4ring,2,-1.897849389,-1.857410511,766,-1.657129735,-1.326412472,5.522049904
H6_line_sto-3g,H6_line_sto-3g_singlet_0.50.hdf5,H6line,0.5,-2.225106186,-1.370202031,997,-2.209993019,-1.325297174,193.1646862
H6_line_sto-3g,H6_line_sto-3g_singlet_0.60.hdf5,H6line,0.6,-2.79641923,-2.092812543,333,-2.758527619,-2.02548859,64.64104414
H6_line_sto-3g,H6_line_sto-3g_singlet_0.70.hdf5,H6line,0.7,-3.077995452,-2.480041756,665,-3.023142202,-2.397710812,128.1207547
H6_line_sto-3g,H6_line_sto-3g_singlet_0.80.hdf5,H6line,0.8,-3.204411879,-2.679755147,222,-3.11225901,-2.575881948,43.09548354
H6_line_sto-3g,H6_line_sto-3g_singlet_0.90.hdf5,H6line,0.9,-3.24454224,-2.770171006,333,-3.116647911,-2.628413801,64.30437398
H6_line_sto-3g,H6_line_sto-3g_singlet_1.00.hdf5,H6line,1,-3.23606628,-2.845128771,222,-3.064857181,-2.585570146,43.23972583
